Swimming 4 x 100m Freestyle Relay;feminino;BRA;bronze;Brazil
Swimming 4 x 100m Medley Relay;feminino;CAN;ouro;Canada
Swimming 4 x 100m Medley Relay;feminino;USA;prata;United States of America
Swimming 4 x 100m Medley Relay;feminino;MEX;bronze;Mexico
Swimming 4 x 200m Freestyle Relay;feminino;USA;ouro;United States of America
Swimming 4 x 200m Freestyle Relay;feminino;BRA;prata;Brazil
Swimming 4 x 200m Freestyle Relay;feminino;CAN;bronze;Canada
Swimming 50m Freestyle;feminino;CAN;ouro;MACNEIL Maggie
Swimming 50m Freestyle;feminino;USA;prata;ALBIERO Gabi
Swimming 50m Freestyle;feminino;USA;bronze;DE LOOF Catie
Swimming 800m Freestyle;feminino;USA;ouro;MADDEN Paige
Swimming 800m Freestyle;feminino;USA;prata;STEGE Rachel
Swimming 800m Freestyle;feminino;BRA;bronze;JUNGBLUT Viviane
Swimming 4 x 100m Freestyle Relay;mix;BRA;ouro;Brazil
Swimming 4 x 100m Freestyle Relay;mix;USA;prata;United States of America
Swimming 4 x 100m Freestyle Relay;mix;CAN;bronze;Canada
Swimming 4 x 100m Medley Relay;mix;USA;ouro;United States of America
Swimming 4 x 100m Medley Relay;mix;CAN;prata;Canada
Swimming 4 x 100m Medley Relay;mix;BRA;bronze;Brazil
